IID1	IID2	PI_HAT
117_CC_UNK_ENG_M	128_CC_UNK_ENG_M	0.2417
117_CC_UNK_ENG_M	129_CC_UNK_ENG_M	0.2571
117_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.3083
117_CC_UNK_ENG_M	139_CC_UNK_BLR_M	0.2496
117_CC_UNK_ENG_M	237_CC_ORW_CHN_F	0.1924
118_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.2010
119_CC_UNK_ENG_F	137_CC_UNK_ENG_M	0.1941
120_CC_UNK_ENG_F	137_CC_UNK_ENG_M	0.2064
121_CC_UNK_ENG_M	122_CC_UNK_ENG_M	0.2135
121_CC_UNK_ENG_M	126_CC_UNK_ENG_M	0.3810
121_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1876
122_CC_UNK_ENG_M	128_CC_UNK_ENG_M	0.2421
122_CC_UNK_ENG_M	129_CC_UNK_ENG_M	0.2575
122_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.3058
122_CC_UNK_ENG_M	139_CC_UNK_BLR_M	0.2528
122_CC_UNK_ENG_M	237_CC_ORW_CHN_F	0.1937
123_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1957
124_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1876
127_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.2078
128_CC_UNK_ENG_M	129_CC_UNK_ENG_M	0.7701
128_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.3163
128_CC_UNK_ENG_M	139_CC_UNK_BLR_M	0.2552
128_CC_UNK_ENG_M	237_CC_ORW_CHN_F	0.1948
129_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.3244
129_CC_UNK_ENG_M	139_CC_UNK_BLR_M	0.2679
129_CC_UNK_ENG_M	237_CC_ORW_CHN_F	0.2118
130_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.6244
131_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.2023
132_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1908
133_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1959
134_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1973
135_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.2077
136_CC_UNK_ENG_M	137_CC_UNK_ENG_M	0.1926
137_CC_UNK_ENG_M	138_CC_UNK_BLR_M	0.1874
137_CC_UNK_ENG_M	139_CC_UNK_BLR_M	0.3253
137_CC_UNK_ENG_M	140_CC_UNK_BLR_M	0.1935
137_CC_UNK_ENG_M	144_CC_GRW_BGR_M	0.1948
137_CC_UNK_ENG_M	145_CC_GRW_BGR_M	0.1868
137_CC_UNK_ENG_M	147_CC_GRW_BGR_M	0.1980
137_CC_UNK_ENG_M	151_CC_GRW_CZE_F	0.1894
137_CC_UNK_ENG_M	152_CC_GRW_CZE_F	0.2181
137_CC_UNK_ENG_M	154_CC_GRW_CZE_M	0.1863
137_CC_UNK_ENG_M	155_CC_GRW_CZE_F	0.1923
137_CC_UNK_ENG_M	156_CC_GRW_CZE_M	0.2069
137_CC_UNK_ENG_M	157_CC_GRW_CZE_M	0.1855
137_CC_UNK_ENG_M	237_CC_ORW_CHN_F	0.2756
137_CC_UNK_ENG_M	239_CC_ORW_CHN_F	0.2425
137_CC_UNK_ENG_M	274_CC_UNK_BLR_M	0.1912
137_CC_UNK_ENG_M	279_CC_UNK_RUS_F	0.1890
137_CC_UNK_ENG_M	280_CC_UNK_RUS_F	0.1913
137_CC_UNK_ENG_M	281_CC_UNK_RUS_M	0.1855
137_CC_UNK_ENG_M	287_CC_UNK_RUS_M	0.1861
137_CC_UNK_ENG_M	301_CC_UNK_RUS_F	0.1903
137_CC_UNK_ENG_M	303_CC_UNK_RUS_M	0.1881
137_CC_UNK_ENG_M	304_CC_UNK_RUS_F	0.1858
137_CC_UNK_ENG_M	392_CC_UNK_RUS_M	0.1913
137_CC_UNK_ENG_M	396_CC_UNK_RUS_M	0.2228
137_CC_UNK_ENG_M	398_CC_UNK_RUS_M	0.1926
137_CC_UNK_ENG_M	410_CC_GRW_HUN_F	0.1904
137_CC_UNK_ENG_M	411_CC_GRW_HUN_F	0.2253
137_CC_UNK_ENG_M	412_CC_GRW_HUN_F	0.1863
137_CC_UNK_ENG_M	413_CC_GRW_HUN_F	0.2041
137_CC_UNK_ENG_M	414_CC_GRW_HUN_F	0.1855
