ID	Cluster
183_CB_OMR_CHN_M	CC_2
184_CC_IBS_CHN_F	CC_13
185_CB_OMR_CHN_F	CC_2
186_CC_ORW_CHN_F	CC_1
187_CC_ORW_CHN_F	CC_1
188_CC_ORW_CHN_F	CC_1
189_CC_ORW_CHN_F	CC_1
190_CC_ORW_CHN_F	CC_1
191_CC_ORW_CHN_F	CC_1
192_CC_ORW_CHN_F	CC_1
193_CC_ORW_CHN_F	CC_1
194_CC_ORW_CHN_F	CC_1
195_CC_ORW_CHN_F	CC_1
196_CC_ORW_CHN_F	CC_1
197_CC_ORW_CHN_F	CC_1
198_CC_ORW_CHN_F	CC_1
199_CC_ORW_CHN_F	CC_1
200_CC_ORW_CHN_F	CC_1
201_CC_ORW_CHN_F	CC_1
202_CC_ORW_CHN_F	CC_1
203_CC_ORW_CHN_F	CC_1
204_CC_ORW_CHN_F	CC_1
205_CC_ORW_CHN_F	CC_1
206_CC_ORW_CHN_F	CC_1
207_CC_ORW_CHN_F	CC_1
208_CC_ORW_CHN_F	CC_1
209_CC_ORW_CHN_F	CC_1
210_CC_ORW_CHN_F	CC_1
211_CB_GBC_CHN_F	CC_2
212_CB_GBC_CHN_F	CC_2
213_CB_GBC_CHN_F	CC_2
214_CB_GBC_CHN_F	CC_2
215_CB_GBC_CHN_F	CC_2
216_CB_GBC_CHN_F	CC_2
217_CB_ASC_CHN_F	CC_2
218_CC_IBS_CHN_M	CC_13
219_CC_IBS_CHN_F	CC_13
225_CC_IBS_CHN_F	CC_13
227_CC_IBS_CHN_M	CC_13
228_CB_GBC_CHN_F	CC_2
229_CB_GBC_CHN_M	CC_2
230_CB_ASC_CHN_M	CC_2
231_CC_ORW_CHN_F	CC_1
232_CC_ORW_CHN_M	CC_1
234_CC_ORW_CHN_M	CC_1
235_CC_ORW_CHN_M	CC_1
236_CC_ORW_CHN_M	CC_1
237_CC_ORW_CHN_F	CC_1
238_CC_ORW_CHN_F	CC_1
239_CC_ORW_CHN_F	CC_1
240_CC_ORW_CHN_M	CC_1
241_CC_ORW_CHN_M	CC_1
242_CC_ORW_CHN_F	CC_1
243_CC_ORW_CHN_F	CC_1
244_CC_ORW_CHN_M	CC_1
245_CB_OMR_CHN_F	CC_2
250_CC_MWB_RUS_M	CC_14
252_CC_SRT_RUS_F	CC_15
254_CC_SRT_RUS_M	CC_15
255_CC_SRT_RUS_M	CC_15
256_CC_SRT_RUS_F	CC_15
258_CC_SRT_RUS_F	CC_15
259_CC_SRT_RUS_F	CC_16
260_CC_SRT_RUS_F	CC_16
261_CC_BFB_RUS_F	CC_16
262_CC_BFB_RUS_M	CC_16
264_CC_DRD_RUS_M	CC_14
265_CC_DRD_RUS_M	CC_14
266_CC_DRD_RUS_M	CC_14
267_CC_DRD_RUS_M	CC_14
268_CC_TBW_RUS_M	CC_14
269_CC_TBW_RUS_F	CC_14
270_CC_TBW_RUS_F	CC_14
271_CC_TBW_RUS_M	CC_14
272_CC_TBW_RUS_F	CC_14
273_CC_TBW_RUS_F	CC_14
274_CC_UNK_BLR_M	CC_4
275_CC_UNK_RUS_M	CC_4
276_CC_UNK_RUS_F	CC_17
277_CC_UNK_RUS_F	CC_17
278_CC_UNK_RUS_F	CC_4
