ID	K1
267_CC_DRD_RUS_M	1e-05
271_CC_TBW_RUS_M	1e-05
272_CC_TBW_RUS_F	1e-05
273_CC_TBW_RUS_F	1e-05
274_CC_UNK_BLR_M	0.890255
275_CC_UNK_RUS_M	0.739017
276_CC_UNK_RUS_F	0.078885
277_CC_UNK_RUS_F	0.005541
278_CC_UNK_RUS_F	0.883751
279_CC_UNK_RUS_F	0.792021
280_CC_UNK_RUS_F	0.884151
281_CC_UNK_RUS_M	0.640634
282_CC_UNK_RUS_M	0.008455
283_CC_UNK_RUS_F	1e-05
284_CC_UNK_RUS_M	1e-05
285_CC_UNK_RUS_F	0.001691
286_CC_UNK_RUS_F	1e-05
287_CC_UNK_RUS_M	0.874511
289_CC_UNK_RUS_M	1e-05
290_CC_UNK_RUS_M	1e-05
295_CC_UNK_RUS_F	1e-05
297_CC_UNK_RUS_M	0.479342
298_CC_UNK_RUS_M	0.631316
299_CC_UNK_RUS_F	0.653253
300_CC_UNK_RUS_M	0.584396
301_CC_UNK_RUS_F	0.457229
303_CC_UNK_RUS_M	0.861226
304_CC_UNK_RUS_F	0.942448
315_CC_ACW_RUS_F	0.006272
328_CC_SCC_RUS_F	0.688431
392_CC_UNK_RUS_M	0.85585
393_CC_UNK_RUS_F	0.206018
395_CC_UNK_RUS_M	1e-05
396_CC_UNK_RUS_M	0.885022
397_CC_UNK_RUS_M	0.835995
398_CC_UNK_RUS_M	0.849416
399_CC_UNK_RUS_M	0.849911
