ID	Analysis_All	Analysis_Unrelated	Analysis_ADMIXTURE	Analysis_Demography	Latitude	Longitude	IDNum	Migration	Gens	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Age	Source	Sampling_Year	Sampling_Month	Country	Hap	HapCol	Cluster
131_CC_UNK_ENG_M	1	1	1	0	54.386314	-0.89248	131	East	NA	Common cuckoo	C. c. canorus	21	CC	M	Missing	11.31	10	4191.82	399.6015253	124.85602	117.70974	0.942763833	18.728403	17.61954644	0.940792786	Adult	Feather	2015	5	ENG	W7	#FDBF6F	CC_9
132_CC_UNK_ENG_M	1	1	1	0	54.386314	-0.89248	132	East	NA	Common cuckoo	C. c. canorus	21	CC	M	Missing	8.99	8	2504.27	295.6635183	123.921308	99.137728	0.8000055	18.5881962	14.82721562	0.797668341	Adult	Feather	2015	6	ENG	W7	#FDBF6F	CC_9
133_CC_UNK_ENG_M	1	1	1	0	54.386314	-0.89248	133	East	NA	Common cuckoo	C. c. canorus	21	CC	M	Missing	9.72	9	4318.84	470.9749182	133.24988	106.20275	0.797019479	19.987482	15.87783092	0.794388754	Adult	Feather	2015	5	ENG	W7	#FDBF6F	CC_9
278_CC_UNK_RUS_F	1	1	1	0	55.83333	37.73333	278	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.58	11	662.47	52.95523581	141.365706	139.852306	0.989294433	21.2048559	20.90506384	0.985862103	Young	Tissue	2003	6	RUS	W7	#FDBF6F	CC_4
037_CC_ERW_DNK_M	1	1	1	0	55.903545	12.446721	037	NA	A. scirpaceus	Common cuckoo	C. c. canorus	21	CC	M	Missing	19.25	19	71.15	3.71152843	234.727132	227.607156	0.969667009	23.70744033	22.97726188	0.969200452	Young	Blood	2010	7	DNK	W7	#FDBF6F	CC_7
038_CC_ERW_DNK_F	1	1	1	0	55.943159	11.590266	038	NA	A. scirpaceus	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.43	16	62.44	3.82832618	200.032528	194.222838	0.970956274	20.20328533	19.60361786	0.970318319	Young	Blood	2010	7	DNK	W7	#FDBF6F	CC_7
039_CC_ERW_DNK_F	1	1	1	0	56.098433	12.242479	039	NA	A. scirpaceus	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.26	14	164.73	11.60887949	174.297346	168.724922	0.968029209	17.60403195	17.03266676	0.967543504	Young	Blood	2010	7	DNK	W7	#FDBF6F	CC_7
392_CC_UNK_RUS_M	1	1	1	0	56.18333	51.33333	392	NA	NA	Common cuckoo	C. c. canorus	21	CC	M	Missing	10.9	10	955.09	105.3020948	113.80305	113.201612	0.994715098	17.0704575	16.85760395	0.987530882	Adult	Tissue	2003	6	RUS	W4	#33A02C	CC_20
400_CO_SCC_RUS_F	1	1	1	0	56.18333	51.33333	400	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	rufous	10.57	9	749.27	81.00216216	112.467256	111.24832	0.989161859	16.8700884	16.6105148	0.984613383	Adult	Muscle	2003	6	RUS	NA	NA	CO_11
401_CO_SCC_RUS_F	1	1	1	0	56.18333	51.33333	401	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	rufous	9.82	9	1440.36	180.045	100.800252	100.017058	0.992230238	15.1200378	14.83400717	0.981082678	Adult	Muscle	2003	6	RUS	NA	NA	CO_11
329_CO_SCC_RUS_M	1	1	1	0	56.83333	60.61667	329	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	13.26	12	4294.86	339.7832278	140.665816	139.601318	0.992432433	21.0998724	20.90170626	0.990608183	Adult	Muscle	2015	5	RUS	NA	NA	CO_4
