time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.08603e-06	0.419692
1	7.08603e-06	1.75434e-05	0.419692
2	1.75434e-05	3.29761e-05	0.419653
3	3.29761e-05	5.57513e-05	16.985
4	5.57513e-05	8.93623e-05	30.0426
5	8.93623e-05	0.000138965	78.9861
6	0.000138965	0.000212166	210.632
7	0.000212166	0.000320195	303.853
8	0.000320195	0.000479621	323.236
9	0.000479621	0.000714898	331.587
10	0.000714898	0.00106211	346.463
11	0.00106211	0.00157453	371.986
12	0.00157453	0.00233073	406.798
13	0.00233073	0.00344671	453.908
14	0.00344671	0.00509365	543.551
15	0.00509365	0.00752416	604.62
16	0.00752416	0.011111	669.367
17	0.011111	0.0164045	768.927
18	0.0164045	0.0242163	91726
19	0.0242163	inf	91726
