time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.7216e-05	7.59318
1	1.7216e-05	4.14079e-05	7.59318
2	4.14079e-05	7.54022e-05	64.9932
3	7.54022e-05	0.000123171	123.707
4	0.000123171	0.000190295	254.377
5	0.000190295	0.000284617	310.532
6	0.000284617	0.000417158	323.159
7	0.000417158	0.000603404	319.371
8	0.000603404	0.000865116	312.877
9	0.000865116	0.00123287	311.331
10	0.00123287	0.00174964	321.07
11	0.00174964	0.0024758	348.936
12	0.0024758	0.00349619	409.353
13	0.00349619	0.00493004	517.378
14	0.00493004	0.00694488	628.582
15	0.00694488	0.00977612	687.13
16	0.00977612	0.0137546	712.946
17	0.0137546	0.019345	746.031
18	0.019345	0.0272008	762.66
19	0.0272008	inf	762.66
