time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.62398e-06	0.390073
1	7.62398e-06	1.88752e-05	0.390073
2	1.88752e-05	3.54795e-05	3.14001
3	3.54795e-05	5.99837e-05	4.08438
4	5.99837e-05	9.61464e-05	23.3813
5	9.61464e-05	0.000149514	78.5981
6	0.000149514	0.000228273	160.714
7	0.000228273	0.000344503	235.926
8	0.000344503	0.000516033	264.179
9	0.000516033	0.000769171	282.536
10	0.000769171	0.00114275	307.449
11	0.00114275	0.00169406	339.748
12	0.00169406	0.00250767	382.436
13	0.00250767	0.00370837	454.022
14	0.00370837	0.00548034	558.768
15	0.00548034	0.00809537	609.896
16	0.00809537	0.0119545	658.175
17	0.0119545	0.0176498	716.426
18	0.0176498	0.0260548	85215.8
19	0.0260548	inf	85215.8
