time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.73403e-06	4.7667	0.441888	35.7464
1	6.73403e-06	1.66719e-05	4.7667	0.441888	35.7464
2	1.66719e-05	3.1338e-05	4.7667	0.441576	35.7464
3	3.1338e-05	5.29818e-05	19.1689	1.89951	126.98534
4	5.29818e-05	8.49232e-05	43.37210999999999	24.8781	219.73739999999995
5	8.49232e-05	0.000132061	66.7713	117.086	383.93649999999997
6	0.000132061	0.000201627	151.672	271.541	694.9975999999999
7	0.000201627	0.000304289	283.585	459.706	907.9183999999999
8	0.000304289	0.000455796	350.53800000000007	509.041	777.5504
9	0.000455796	0.000679385	345.4995	448.084	567.2531
10	0.000679385	0.00100935	319.734	397.462	445.1082
11	0.00100935	0.00149631	304.1826	377.604	392.96740000000005
12	0.00149631	0.00221495	304.7745	377.415	363.65930000000003
13	0.00221495	0.00327549	335.8848	401.894	370.79600000000005
14	0.00327549	0.00484062	426.4901000000001	478.697	447.15880000000004
15	0.00484062	0.00715039	575.7298000000001	601.038	583.7402
16	0.00715039	0.0105591	728.4318000000001	716.766	712.2032000000002
17	0.0105591	0.0155896	1047.4672	895.757	747.3826999999999
18	0.0155896	0.0230134	2083.632	96511.7	574.8119999999999
19	0.0230134	inf	3143.04	96511.7	574.812
