time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.57389e-06	0.39261
1	7.57389e-06	1.87512e-05	0.39261
2	1.87512e-05	3.52465e-05	0.392613
3	3.52465e-05	5.95897e-05	5.46578
4	5.95897e-05	9.55148e-05	29.6646
5	9.55148e-05	0.000148532	68.0375
6	0.000148532	0.000226773	154.454
7	0.000226773	0.00034224	236.231
8	0.00034224	0.000512643	276.623
9	0.000512643	0.000764118	296.017
10	0.000764118	0.00113524	311.782
11	0.00113524	0.00168293	339.5
12	0.00168293	0.0024912	381.053
13	0.0024912	0.00368401	448.494
14	0.00368401	0.00544434	558.199
15	0.00544434	0.00804219	643.786
16	0.00804219	0.011876	702.611
17	0.011876	0.0175339	823.476
18	0.0175339	0.0258836	85687.8
19	0.0258836	inf	85687.8
