time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.39562e-06	0.567374	0.4021	2.70378
1	7.39562e-06	1.83099e-05	0.567374	0.4021	2.70378
2	1.83099e-05	3.44169e-05	0.567374	1.7813	2.70378
3	3.44169e-05	5.81871e-05	34.59326959999999	4.28783	32.521271999999996
4	5.81871e-05	9.32666e-05	91.74192	28.0604	74.11656
5	9.32666e-05	0.000145036	160.4274	79.7831	139.32150000000001
6	0.000145036	0.000221436	223.50119999999995	174.805	234.52260000000004
7	0.000221436	0.000334185	288.92459999999994	230.68	285.18930000000006
8	0.000334185	0.000500576	311.301	269.159	299.50600000000003
9	0.000500576	0.000746133	304.0865	292.785	298.56449999999995
10	0.000746133	0.00110852	301.40439999999995	314.85	301.1378
11	0.00110852	0.00164332	308.3378	344.993	312.17109999999997
12	0.00164332	0.00243256	330.78400000000005	387.024	337.1808
13	0.00243256	0.0035973	389.5547999999999	467.312	393.9358999999999
14	0.0035973	0.0053162	526.2106	595.974	527.1747999999999
15	0.0053162	0.00785289	654.9772	657.157	633.7004
16	0.00785289	0.0115965	695.1335999999999	694.548	687.49
17	0.0115965	0.0171212	704.1415000000001	774.014	762.8749999999999
18	0.0171212	0.0252744	53470.8848	87806.7	53684.543999999994
19	0.0252744	inf	88643.2	87806.7	88931.7
