time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76466e-05	7.56737
1	1.76466e-05	4.24436e-05	7.56737
2	4.24436e-05	7.72881e-05	70.366
3	7.72881e-05	0.000126251	147.364
4	0.000126251	0.000195054	245.424
5	0.000195054	0.000291736	304.276
6	0.000291736	0.000427592	316.861
7	0.000427592	0.000618496	306.51
8	0.000618496	0.000886754	304.484
9	0.000886754	0.00126371	306.575
10	0.00126371	0.0017934	314.176
11	0.0017934	0.00253772	334.792
12	0.00253772	0.00358364	387.835
13	0.00358364	0.00505336	496.854
14	0.00505336	0.00711859	630.408
15	0.00711859	0.0100206	714.178
16	0.0100206	0.0140986	735.888
17	0.0140986	0.0198289	760.781
18	0.0198289	0.0278811	88802.9
19	0.0278811	inf	88802.9
