time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.03714e-06	68.9627	0.422601	9.19723
1	7.03714e-06	1.74224e-05	68.9627	0.422601	9.19723
2	1.74224e-05	3.27486e-05	68.9627	1.95045	9.19723
3	3.27486e-05	5.53667e-05	191.80399999999995	24.4535	41.883315
4	5.53667e-05	8.87458e-05	232.65200000000004	39.2402	91.59997999999999
5	8.87458e-05	0.000138006	379.86159999999995	88.5191	146.26999999999998
6	0.000138006	0.000210702	677.867	210.066	219.7974
7	0.000210702	0.000317986	852.3923999999998	314.53	282.15380000000005
8	0.000317986	0.000476312	727.5379999999998	335.107	310.82800000000003
9	0.000476312	0.000709966	526.2153	338.921	308.6069
10	0.000709966	0.00105479	431.45160000000004	353.264	302.2396
11	0.00105479	0.00156366	379.82250000000005	375.469	305.79200000000003
12	0.00156366	0.00231465	354.5218	407.692	326.1894
13	0.00231465	0.00342293	363.9136	446.415	380.51340000000005
14	0.00342293	0.00505851	452.7229	522.831	496.80209999999994
15	0.00505851	0.00747225	623.3130000000001	632.791	632.0002999999999
16	0.00747225	0.0110344	760.7488999999998	729.536	696.969
17	0.0110344	0.0162913	23992.4072	835.815	760.0157999999999
18	0.0162913	0.0240493	116358.99999999997	92301.2	44890.231
19	0.0240493	inf	116359.0	92301.2	88977.2
