time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.06632e-06	75.1675	0.420938	1.2041
1	7.06632e-06	1.74946e-05	75.1675	0.420938	1.2041
2	1.74946e-05	3.28844e-05	75.1675	0.420814	1.2041
3	3.28844e-05	5.55963e-05	190.58600000000004	7.64699	41.876999999999995
4	5.55963e-05	8.91138e-05	255.0476	36.2127	93.75282999999999
5	8.91138e-05	0.000138578	409.2749999999999	92.2207	140.17079999999999
6	0.000138578	0.000211576	718.9342	226.538	234.21699999999996
7	0.000211576	0.000319305	882.4186000000002	304.92	291.4394
8	0.000319305	0.000478288	732.0097000000001	333.599	313.65490000000005
9	0.000478288	0.00071291	529.1446	338.755	311.9367
10	0.00071291	0.00105916	434.15739999999994	351.564	305.5806
11	0.00105916	0.00157015	382.57899999999984	374.354	308.46349999999995
12	0.00157015	0.00232425	355.17939999999993	406.815	328.0384
13	0.00232425	0.00343713	366.4575999999999	449.954	383.7063999999999
14	0.00343713	0.00507949	457.9402	523.743	490.21490000000006
15	0.00507949	0.00750324	637.906	627.341	636.6968
16	0.00750324	0.0110801	858.3733000000001	715.235	730.1087999999999
17	0.0110801	0.0163588	2027.32	888.808	748.4399999999999
18	0.0163588	0.024149	5226.279999999998	91886.5	655.005
19	0.024149	inf	5226.28	91886.5	584.04
