time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.59365e-06	27.013600000000007	0.391653	1.7084600000000003
1	7.59365e-06	1.88002e-05	27.013600000000007	0.391653	1.7084600000000003
2	1.88002e-05	3.53384e-05	27.013600000000007	0.391595	1.7084600000000003
3	3.53384e-05	5.97451e-05	81.82159999999999	1.48797	16.518877999999997
4	5.97451e-05	9.57639e-05	107.03064000000002	17.1798	51.49845
5	9.57639e-05	0.000148919	177.44640000000004	52.344	120.74482
6	0.000148919	0.000227365	326.71619999999996	145.822	211.76120000000003
7	0.000227365	0.000343133	437.5535999999999	222.27	274.01320000000004
8	0.000343133	0.00051398	438.3462999999999	264.054	299.5085
9	0.00051398	0.000766111	395.3936000000001	285.784	297.84749999999997
10	0.000766111	0.0011382	355.52180000000004	307.969	299.298
11	0.0011382	0.00168732	332.8235000000001	341.526	311.9833
12	0.00168732	0.00249769	339.18159999999995	385.855	339.55820000000006
13	0.00249769	0.00369362	393.28439999999995	459.109	401.64480000000003
14	0.00369362	0.00545854	518.0172	563.283	550.889
15	0.00545854	0.00806316	658.4315	622.743	652.0604999999999
16	0.00806316	0.011907	780.3192	680.184	696.6556
17	0.011907	0.0175796	898.3816000000002	806.985	744.6736000000002
18	0.0175796	0.0259511	87084.13969999999	85482.8	62466.8636
19	0.0259511	inf	96657.9	85482.8	88909.4
