time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.31483e-05	92.79
1	1.31483e-05	3.16243e-05	92.79
2	3.16243e-05	5.75866e-05	269.015
3	5.75866e-05	9.40687e-05	325.257
4	9.40687e-05	0.000145333	513.278
5	0.000145333	0.00021737	818.963
6	0.00021737	0.000318595	936.145
7	0.000318595	0.000460836	755.096
8	0.000460836	0.000660712	573.697
9	0.000660712	0.000941576	469.567
10	0.000941576	0.00133625	407.683
11	0.00133625	0.00189083	368.417
12	0.00189083	0.00267013	352.381
13	0.00267013	0.0037652	381.902
14	0.0037652	0.00530399	493.657
15	0.00530399	0.00746628	647.424
16	0.00746628	0.0105047	759.176
17	0.0105047	0.0147743	806.476
18	0.0147743	0.0207739	636.685
19	0.0207739	inf	636.685
