time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.3463e-05	12.9595
1	1.3463e-05	3.23811e-05	12.9595
2	3.23811e-05	5.89647e-05	115.022
3	5.89647e-05	9.63199e-05	220.081
4	9.63199e-05	0.000148811	409.887
5	0.000148811	0.000222571	710.815
6	0.000222571	0.000326219	853.956
7	0.000326219	0.000471864	730.234
8	0.000471864	0.000676523	564.654
9	0.000676523	0.00096411	459.145
10	0.00096411	0.00136822	395.355
11	0.00136822	0.00193608	359.399
12	0.00193608	0.00273403	346.338
13	0.00273403	0.00385531	372.78
14	0.00385531	0.00543092	484.174
15	0.00543092	0.00764496	641.67
16	0.00764496	0.0107561	715.273
17	0.0107561	0.0151279	794.741
18	0.0151279	0.0212711	116866
19	0.0212711	inf	116866
