time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63484e-05	8.74498
1	1.63484e-05	3.93212e-05	8.74498
2	3.93212e-05	7.16023e-05	93.2655
3	7.16023e-05	0.000116964	102.703
4	0.000116964	0.000180705	204.513
5	0.000180705	0.000270274	387
6	0.000270274	0.000396136	467.666
7	0.000396136	0.000572996	433.359
8	0.000572996	0.000821519	383.002
9	0.000821519	0.00117074	346.985
10	0.00117074	0.00166147	328.508
11	0.00166147	0.00235103	331.354
12	0.00235103	0.00332	366.397
13	0.00332	0.0046816	460.564
14	0.0046816	0.0065949	616.213
15	0.0065949	0.00928346	770.497
16	0.00928346	0.0130614	916.085
17	0.0130614	0.0183702	1043.67
18	0.0183702	0.02583	1031.04
19	0.02583	inf	1031.04
