time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.00484e-06	0.425093
1	7.00484e-06	1.73424e-05	0.425093
2	1.73424e-05	3.25983e-05	0.424549
3	3.25983e-05	5.51125e-05	9.85918
4	5.51125e-05	8.83384e-05	32.8126
5	8.83384e-05	0.000137372	90.3986
6	0.000137372	0.000209735	208.858
7	0.000209735	0.000316527	307.079
8	0.000316527	0.000474126	336.736
9	0.000474126	0.000706708	341.375
10	0.000706708	0.00104994	353.607
11	0.00104994	0.00155649	377.252
12	0.00155649	0.00230402	411.044
13	0.00230402	0.00340722	455.988
14	0.00340722	0.00503529	538.234
15	0.00503529	0.00743795	625.446
16	0.00743795	0.0109837	688.243
17	0.0109837	0.0162165	754.082
18	0.0162165	0.0239389	92801.8
19	0.0239389	inf	92801.8
