time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.30999e-05	39.4168
1	1.30999e-05	3.15079e-05	39.4168
2	3.15079e-05	5.73746e-05	198.136
3	5.73746e-05	9.37223e-05	313.477
4	9.37223e-05	0.000144798	581.072
5	0.000144798	0.000216569	864.806
6	0.000216569	0.000317422	922.802
7	0.000317422	0.000459139	743.951
8	0.000459139	0.000658279	568.872
9	0.000658279	0.000938109	465.997
10	0.000938109	0.00133133	402.773
11	0.00133133	0.00188387	365.308
12	0.00188387	0.0026603	351.463
13	0.0026603	0.00375134	378.32
14	0.00375134	0.00528446	476.772
15	0.00528446	0.00743879	625.977
16	0.00743879	0.010466	747.891
17	0.010466	0.0147199	873.165
18	0.0147199	0.0206974	120085
19	0.0206974	inf	120085
