time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.75668e-05	3.81838
1	1.75668e-05	4.22515e-05	3.81838
2	4.22515e-05	7.69383e-05	58.7178
3	7.69383e-05	0.00012568	120.471
4	0.00012568	0.000194171	223.264
5	0.000194171	0.000290415	287.036
6	0.000290415	0.000425657	312.804
7	0.000425657	0.000615697	313.722
8	0.000615697	0.00088274	307.957
9	0.00088274	0.00125799	306.292
10	0.00125799	0.00178528	312.949
11	0.00178528	0.00252624	336.06
12	0.00252624	0.00356742	392.964
13	0.00356742	0.00503048	504.628
14	0.00503048	0.00708637	638.115
15	0.00708637	0.00997529	716.737
16	0.00997529	0.0140348	748.123
17	0.0140348	0.0197392	806.705
18	0.0197392	0.0277549	89167.8
19	0.0277549	inf	89167.8
