time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.61555e-06	0.390556
1	7.61555e-06	1.88544e-05	0.390556
2	1.88544e-05	3.54403e-05	0.390497
3	3.54403e-05	5.99174e-05	9.21226
4	5.99174e-05	9.60401e-05	22.0309
5	9.60401e-05	0.000149349	71.2432
6	0.000149349	0.000228021	166.424
7	0.000228021	0.000344122	242.968
8	0.000344122	0.000515462	279.331
9	0.000515462	0.000768321	297.913
10	0.000768321	0.00114148	318.93
11	0.00114148	0.00169218	345.5
12	0.00169218	0.0025049	381.591
13	0.0025049	0.00370427	443.73
14	0.00370427	0.00547428	554.54
15	0.00547428	0.00808642	693.956
16	0.00808642	0.0119413	792.972
17	0.0119413	0.0176303	797.633
18	0.0176303	0.026026	739.037
19	0.026026	inf	739.037
