The split time is estimated to be around [0.0, 0.0, 0.0] gens (i.e. 0.25,0.5,0.75 quantile)
Initial Chi-Square distance is 2.3021063930282513e+276 and final Chi-Square distance is 0.00010098091233515698
left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	5.9538073187445116e-08	0.0	6.077226186929663e-08	0.0	4.629395599999999e-07	4.306751099999999e-09	1.8095967999999998e-07	0.013377096391665256	1080054.5971919103	2763046.442168775	8397987.594019683	8227437.726036162	16783945.962506827	16443090.521116734
690.4594059405941	3.007727995280952e-08	3.007689740930234e-08	3.007906951534596e-08	0.9999575331685953	4.629395599999999e-07	4.306751099999999e-09	1.8095967999999998e-07	0.013377096391665256	1080054.5971919103	2763046.442168775	8397987.594019683	8227437.726036162	16795974.423832636	16454874.70338543
1709.4257425742574	1.2865229629429338e-08	1.2864793580813301e-08	1.2865238945635017e-08	0.9999657443689693	4.629395599999999e-07	4.3066804e-09	1.8095967999999998e-07	0.013376876792089399	1080054.5971919103	2763046.442168775	1.1089490886109252	1.1089493076739947	2.217898076312727	2.217898514438846
3213.1782178217827	5.933101727753313e-08	5.932900618576575e-08	5.9331060245285564e-08	0.9999657417822774	1.0940016999999998e-06	2.1403616999999998e-08	3.32519775e-07	0.030008124483369588	457037.681020057	1503669.9697033057	1.0520119377836203	1.0520121753558693	2.1040237798643373	2.104024255008814
5432.376237623763	3.367079936093138e-29	3.3669657854572155e-29	3.367082374610084e-29	0.999965735932972	2.0497848999999993e-06	3.7865707999999997e-07	7.25523299e-07	0.2728756972911606	243928.03361952768	689157.7440575068	1.051918448611524	1.0519184397439436	2.1038368015286495	2.1038367837934895
8707.425742574258	1.0322096879060099e-06	1.0321746904843145e-06	1.0322104356227855e-06	0.9999657324788883	4.23090414e-06	1.0243824e-06	1.50631198e-06	0.35710085817718856	118178.04976314117	331936.54876196367	1.032584023295765	1.0293170580904658	2.065168046588319	2.058634116177731
13540.594059405943	3.456001191369576e-08	3.455883435684772e-08	3.456003707357361e-08	0.9999655631960799	7.338609499999999e-06	2.4172733999999998e-06	2.48301228e-06	0.49223508177078273	68132.79818199894	201368.31542371592	1.0501658003909724	1.050186137157851	2.1003316007807262	2.1003722743144833
20673.366336633662	1.223176921454641e-08	1.2231352319574857e-08	1.2231778121486377e-08	0.9999655529563437	8.749217920000001e-06	3.3732787999999997e-06	2.96837384e-06	0.5757631549368809	57147.96506063023	168442.39538238218	1.0111239217445251	1.0111088008961726	2.0222478434886377	2.0222176017919327
31199.702970297032	4.059340068982204e-09	4.059201696404413e-09	4.0593430253051675e-09	0.9999655484177302	7.5151635600000004e-06	3.5532103e-06	3.1869489500000003e-06	0.664020359845759	66532.15143064698	156889.8679723125	1.0327195409840861	1.0327162278629662	2.0654390819680213	2.0654324557257815
46734.05940594059	1.1491274389918555e-09	1.1490882659248572e-09	1.149128275922548e-09	0.9999655464515218	5.484317170000001e-06	3.5060635e-06	3.1429685e-06	0.8127848396609311	91169.0525002951	159085.27241046165	1.0466404620317595	1.0466403173395316	2.0932809240634414	2.0932806346789854
69659.40594059406	2.1924009815630004e-10	2.1923262409242657e-10	2.1924025783926492e-10	0.9999655450683133	4.44078618e-06	3.6151636999999997e-06	3.1079740199999995e-06	0.9578165431722151	112592.67610132942	160876.5056536734	1.0501658404418779	1.0501658032678114	2.100331680883693	2.10033160653556
103492.0792079208	2.5730020582199123e-31	2.57291434171757e-31	2.5730039322815914e-31	0.9999655447221223	3.86943827e-06	3.842747e-06	3.1791972000000004e-06	1.0903520309300376	129217.72234397217	157272.40826709333	1.0455405181681	1.0455404087348543	2.0910810363361376	2.0910808174696465
153420.79207920792	4.4903227825780606e-27	4.490169704495687e-27	4.490326052891651e-27	0.9999655451979019	3.601874119999999e-06	4.1575943e-06	3.3959937000000006e-06	1.1882460220576159	138816.62249762358	147232.31082554715	1.1143179831299226	1.1143179878643332	2.228635966259779	2.2286359757286003
227104.95049504953	4.5759651473049295e-22	4.575809143793501e-22	4.575968480127132e-22	0.9999655439104022	3.6977160499999993e-06	4.607377599999999e-06	3.9833935400000005e-06	1.1996645916882431	135218.6033862714	125521.1153452842	1.0404626665761922	1.0404626140143975	2.0809253331523228	2.0809252280287334
335845.54455445544	4.4903227974847625e-27	4.490169718515381e-27	4.490326067855107e-27	0.9999655449941593	4.665338469999999e-06	5.3586256999999995e-06	5.087135679999999e-06	1.0989264093563376	107173.36013564737	98287.13670164978	1.0501655265710985	1.0501655243830383	2.1003310531421344	2.100331048766014
496322.7722772278	8.887765635574225e-35	8.887462664805612e-35	8.887772108920592e-35	0.9999655473216961	6.362561659999999e-06	6.379765999999999e-06	6.420697259999999e-06	0.9981439067964993	78584.70011275302	77873.16233003642	1.050165563981388	1.0501655613863152	2.1003311279627135	2.100331122772568
733150.495049505	1.4350521769781269e-21	1.435003254899654e-21	1.4350532221957872e-21	0.9999655450372538	7.783103430000001e-06	7.154789499999999e-06	7.1338057399999994e-06	0.9592857901674813	64241.72625957252	70088.81629569017	1.0465824398512582	1.046582453649404	2.0931648797025164	2.093164907298808
1082653.4653465347	1.1709557089826275e-51	1.1709157903858268e-51	1.170956561841511e-51	0.9999655452283631	0.00012627121505	8.3700922e-06	7.147739700000001e-06	0.1254708105858549	3959.730646466128	69952.18362526548	1.049270467437013	1.0492704807245998	2.098540934874026	2.0985409614491997
