time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.71679e-05	7.11897
1	1.71679e-05	4.12922e-05	7.11897
2	4.12922e-05	7.51915e-05	56.9597
3	7.51915e-05	0.000122827	106.34
4	0.000122827	0.000189763	238.434
5	0.000189763	0.000283822	305.497
6	0.000283822	0.000415993	322.348
7	0.000415993	0.000601719	319.691
8	0.000601719	0.000862699	311.791
9	0.000862699	0.00122943	309.088
10	0.00122943	0.00174475	321.608
11	0.00174475	0.00246888	349.907
12	0.00246888	0.00348643	407.842
13	0.00348643	0.00491627	515.926
14	0.00491627	0.00692548	613.043
15	0.00692548	0.00974882	645.816
16	0.00974882	0.0137161	664.217
17	0.0137161	0.019291	726.183
18	0.019291	0.0271248	91387.1
19	0.0271248	inf	91387.1
