time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.0218e-06	0.423525
1	7.0218e-06	1.73844e-05	0.423525
2	1.73844e-05	3.26772e-05	7.07289
3	3.26772e-05	5.5246e-05	33.8595
4	5.5246e-05	8.85523e-05	36.8582
5	8.85523e-05	0.000137705	88.9811
6	0.000137705	0.000210243	199
7	0.000210243	0.000317293	309.917
8	0.000317293	0.000475274	333.536
9	0.000475274	0.000708418	339.936
10	0.000708418	0.00105249	353.197
11	0.00105249	0.00156025	375.948
12	0.00156025	0.0023096	407.17
13	0.0023096	0.00341547	449.178
14	0.00341547	0.00504748	530.916
15	0.00504748	0.00745596	627.561
16	0.00745596	0.0110103	681.102
17	0.0110103	0.0162558	762.767
18	0.0162558	0.0239968	92575.7
19	0.0239968	inf	92575.7
