time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.54442e-06	24.0803	0.394442	0.6132539999999999
1	7.54442e-06	1.86783e-05	24.0803	0.394442	0.6132539999999999
2	1.86783e-05	3.51093e-05	24.0803	0.394149	0.6132539999999999
3	3.51093e-05	5.93578e-05	78.89806	0.438716	20.620966199999998
4	5.93578e-05	9.51431e-05	106.63980000000001	22.4832	61.63250000000001
5	9.51431e-05	0.000147954	171.6192	62.8524	137.77518
6	0.000147954	0.000225891	327.30559999999997	147.114	236.42479999999998
7	0.000225891	0.000340908	440.9378	232.097	294.1674
8	0.000340908	0.000510648	436.64750000000004	263.12	303.43500000000006
9	0.000510648	0.000761145	395.0026999999999	282.542	300.358
10	0.000761145	0.00113082	354.7342	308.262	303.125
11	0.00113082	0.00167638	331.30140000000006	341.725	314.2434
12	0.00167638	0.0024815	340.53180000000003	385.884	342.0674000000001
13	0.0024815	0.00366968	398.2869000000001	458.96	404.57109999999994
14	0.00366968	0.00542316	526.466	570.578	545.3898
15	0.00542316	0.00801089	676.7154999999999	625.594	670.4473
16	0.00801089	0.0118298	768.4107	677.018	749.7156000000001
17	0.0118298	0.0174657	832.9957999999999	744.392	726.1482000000001
18	0.0174657	0.0257829	87663.10269999999	86090.6	611.0986
19	0.0257829	inf	97309.5	86090.6	574.843
