time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63436e-05	15.3982
1	1.63436e-05	3.93095e-05	15.3982
2	3.93095e-05	7.15811e-05	86.7998
3	7.15811e-05	0.000116929	132.438
4	0.000116929	0.000180652	230.533
5	0.000180652	0.000270194	400.691
6	0.000270194	0.000396019	475.508
7	0.000396019	0.000572826	427.751
8	0.000572826	0.000821276	376.381
9	0.000821276	0.0011704	342.777
10	0.0011704	0.00166098	325.248
11	0.00166098	0.00235034	330.434
12	0.00235034	0.00331902	366.191
13	0.00331902	0.00468021	451.843
14	0.00468021	0.00659295	577.312
15	0.00659295	0.00928072	660.378
16	0.00928072	0.0130576	723.926
17	0.0130576	0.0183647	880.147
18	0.0183647	0.0258224	95945.9
19	0.0258224	inf	95945.9
