left_time_boundary	im_N1	im_N2	m	M
0.0	1531444.9965345592	10158545.641687121	0.004837390216731308	0.998885286544758
702.7712871287129	1532298.9962327082	10164210.484323498	0.004837390216731308	0.9999999510839394
1739.90099009901	2.3634991203054736	2.3634727377387925	6.061423339070627e-08	0.9999999510930148
3270.4752475247524	2.1001056360866137	2.1000968243546367	1.9427326308407952e-07	0.9999999511359187
5529.247524752475	2.099924930575653	2.099919655812375	7.132155893775399e-07	0.9999999513677117
8862.683168316833	2.157131579828923	2.165523967078547	0.0010539627329248938	0.9999999999984746
13782.079207920793	2.079330921057129	2.0793316533339503	6.620690642863158e-05	0.9999999999994167
21041.980198019803	2.3218054171079756	2.321837496442906	4.5429281535860544e-05	0.9999999999997796
31756.0396039604	2.1631677971616017	2.1631734945459637	3.0577312238964795e-05	0.9999999999999162
47567.42574257426	2.0755251337108094	2.075525671697552	1.5076829730367034e-05	0.9999999999999586
70901.48514851485	2.1003317263292427	2.100331509545822	3.3292126467580498e-06	0.999999999999967
105337.62376237624	2.0210206184136545	2.021020618430836	1.3450867690619815e-22	0.999999999999967
156156.4356435644	2.2045721008582055	2.2045721102356826	2.6623511303591797e-30	0.999999999999967
231154.4554455446	2.0877546112672305	2.087754602770677	2.6623511303591797e-30	0.999999999999967
341834.65346534655	2.079299987311951	2.0792999953669478	1.3450867690619815e-22	0.999999999999967
505173.2673267327	2.0792999873075635	2.079299981572591	2.6623511303591797e-30	0.999999999999967
746223.7623762377	2.0793002890760137	2.0793002895170245	4.7584633078099116e-05	1.0
1101960.396039604	2.079300595047666	2.0793002895072186	9.981108795038977e-05	1.0
1626940.594059406	2.084633725929595	2.084633681338371	9.999999920964085e-05	1.0
2401702.9702970297	2.084633725929595	2.084633681338371	9.999999920964085e-05	1.0
