time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.03299e-06	48.073699999999995	0.422936	7.567370000000001
1	7.03299e-06	1.74121e-05	48.073699999999995	0.422936	7.567370000000001
2	1.74121e-05	3.27293e-05	48.073699999999995	0.422814	7.567370000000001
3	3.27293e-05	5.5334e-05	164.73000000000002	8.34002	38.966685
4	5.5334e-05	8.86934e-05	226.6176	27.783	93.4654
5	8.86934e-05	0.000137924	409.7796000000001	108.578	166.976
6	0.000137924	0.000210578	698.9053999999999	223.44	257.19440000000003
7	0.000210578	0.000317798	867.9786000000001	317.498	306.79300000000006
8	0.000317798	0.000476031	747.9979	336.385	313.75570000000005
9	0.000476031	0.000709547	542.5825	342.603	305.9022
10	0.000709547	0.00105416	435.1524	354.588	305.32039999999995
11	0.00105416	0.00156274	379.95769999999993	375.881	310.3755
12	0.00156274	0.00231328	355.63349999999997	407.703	326.5456
13	0.00231328	0.00342091	367.86199999999997	451.811	371.9221
14	0.00342091	0.00505552	461.0078000000001	535.8	485.9521000000001
15	0.00505552	0.00746784	621.9664	630.521	638.7850000000001
16	0.00746784	0.0110279	730.1351999999997	687.3	718.52
17	0.0110279	0.0162817	24179.238400000002	748.737	745.8451999999999
18	0.0162817	0.0240351	117411.00000000003	92430.2	44781.8405
19	0.0240351	inf	117411.0	92430.2	88802.9
