time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.35285e-05	78.245
1	1.35285e-05	3.25388e-05	78.245
2	3.25388e-05	5.92518e-05	149.134
3	5.92518e-05	9.67888e-05	205.643
4	9.67888e-05	0.000149536	416.677
5	0.000149536	0.000223655	737.987
6	0.000223655	0.000327807	864.124
7	0.000327807	0.000474161	712.846
8	0.000474161	0.000679817	539.849
9	0.000679817	0.000968803	438.859
10	0.000968803	0.00137488	383.137
11	0.00137488	0.00194551	355.041
12	0.00194551	0.00274734	347.303
13	0.00274734	0.00387408	376.535
14	0.00387408	0.00545736	486.953
15	0.00545736	0.00768218	652.798
16	0.00768218	0.0108085	745.77
17	0.0108085	0.0152015	879.752
18	0.0152015	0.0213746	116217
19	0.0213746	inf	116217
