time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.6294e-05	14.7403
1	1.6294e-05	3.91903e-05	14.7403
2	3.91903e-05	7.1364e-05	83.3514
3	7.1364e-05	0.000116574	120.576
4	0.000116574	0.000180104	218.224
5	0.000180104	0.000269374	399.084
6	0.000269374	0.000394817	468.948
7	0.000394817	0.000571089	436.443
8	0.000571089	0.000818785	380.565
9	0.000818785	0.00116685	344.64
10	0.00116685	0.00165594	328.226
11	0.00165594	0.00234321	331.504
12	0.00234321	0.00330896	362.385
13	0.00330896	0.00466602	456.633
14	0.00466602	0.00657295	605.795
15	0.00657295	0.00925257	718.837
16	0.00925257	0.0130179	770.801
17	0.0130179	0.018309	811.539
18	0.018309	0.025744	96233.4
19	0.025744	inf	96233.4
