time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63799e-05	10.4536
1	1.63799e-05	3.93968e-05	10.4536
2	3.93968e-05	7.17401e-05	90.6244
3	7.17401e-05	0.000117189	108.158
4	0.000117189	0.000181053	212.032
5	0.000181053	0.000270794	392.832
6	0.000270794	0.000396898	469.996
7	0.000396898	0.000574098	432.9
8	0.000574098	0.000823099	380.144
9	0.000823099	0.00117299	343.997
10	0.00117299	0.00166466	326.822
11	0.00166466	0.00235556	330.773
12	0.00235556	0.00332639	363.673
13	0.00332639	0.0046906	447.866
14	0.0046906	0.00660759	579.34
15	0.00660759	0.00930132	697.827
16	0.00930132	0.0130865	785.878
17	0.0130865	0.0184055	923.586
18	0.0184055	0.0258797	95664.5
19	0.0258797	inf	95664.5
