time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.74659e-06	0.44078
1	6.74659e-06	1.6703e-05	0.44078
2	1.6703e-05	3.13964e-05	0.440754
3	3.13964e-05	5.30806e-05	9.38808
4	5.30806e-05	8.50815e-05	28.211
5	8.50815e-05	0.000132308	102.787
6	0.000132308	0.000202003	261.982
7	0.000202003	0.000304857	459.17
8	0.000304857	0.000456646	486.995
9	0.000456646	0.000680652	439.467
10	0.000680652	0.00101124	395.383
11	0.00101124	0.0014991	376.604
12	0.0014991	0.00221908	380.13
13	0.00221908	0.0032816	404.515
14	0.0032816	0.00484965	479.315
15	0.00484965	0.00716373	590.103
16	0.00716373	0.0105788	660.536
17	0.0105788	0.0156186	730.741
18	0.0156186	0.0230563	96455.2
19	0.0230563	inf	96455.2
