time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.09799e-06	0.419083
1	7.09799e-06	1.7573e-05	0.419083
2	1.7573e-05	3.30318e-05	3.37247
3	3.30318e-05	5.58454e-05	7.29581
4	5.58454e-05	8.95131e-05	35.6543
5	8.95131e-05	0.000139199	102.631
6	0.000139199	0.000212524	225.087
7	0.000212524	0.000320736	312.636
8	0.000320736	0.000480431	333.235
9	0.000480431	0.000716105	335.565
10	0.000716105	0.00106391	351.133
11	0.00106391	0.00157718	373.999
12	0.00157718	0.00233466	402.989
13	0.00233466	0.00345253	444.003
14	0.00345253	0.00510225	525.549
15	0.00510225	0.00753686	645.097
16	0.00753686	0.0111298	725.703
17	0.0111298	0.0164321	832.339
18	0.0164321	0.0242572	91501.5
19	0.0242572	inf	91501.5
