time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.03299e-06	0.422936
1	7.03299e-06	1.74121e-05	0.422936
2	1.74121e-05	3.27293e-05	0.422814
3	3.27293e-05	5.5334e-05	8.34002
4	5.5334e-05	8.86934e-05	27.783
5	8.86934e-05	0.000137924	108.578
6	0.000137924	0.000210578	223.44
7	0.000210578	0.000317798	317.498
8	0.000317798	0.000476031	336.385
9	0.000476031	0.000709547	342.603
10	0.000709547	0.00105416	354.588
11	0.00105416	0.00156274	375.881
12	0.00156274	0.00231328	407.703
13	0.00231328	0.00342091	451.811
14	0.00342091	0.00505552	535.8
15	0.00505552	0.00746784	630.521
16	0.00746784	0.0110279	687.3
17	0.0110279	0.0162817	748.737
18	0.0162817	0.0240351	92430.2
19	0.0240351	inf	92430.2
