time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.34032e-05	29.3851
1	1.34032e-05	3.22373e-05	29.3851
2	3.22373e-05	5.87029e-05	112.396
3	5.87029e-05	9.58922e-05	210.128
4	9.58922e-05	0.00014815	401.191
5	0.00014815	0.000221583	759.25
6	0.000221583	0.00032477	893.55
7	0.00032477	0.000469769	726.897
8	0.000469769	0.000673519	548.449
9	0.000673519	0.000959828	447.805
10	0.000959828	0.00136215	389.943
11	0.00136215	0.00192749	363.516
12	0.00192749	0.00272189	356.749
13	0.00272189	0.00383819	384.989
14	0.00383819	0.00540681	497.392
15	0.00540681	0.00761101	665.619
16	0.00761101	0.0107084	752.403
17	0.0107084	0.0150607	877.087
18	0.0150607	0.0211766	117300
19	0.0211766	inf	117300
