time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76601e-05	14.0138
1	1.76601e-05	4.24759e-05	14.0138
2	4.24759e-05	7.73469e-05	79.9406
3	7.73469e-05	0.000126347	150.63
4	0.000126347	0.000195203	209.801
5	0.000195203	0.000291958	283.712
6	0.000291958	0.000427917	313.742
7	0.000427917	0.000618967	309.657
8	0.000618967	0.000887428	303.331
9	0.000887428	0.00126467	303.87
10	0.00126467	0.00179476	311.755
11	0.00179476	0.00253965	335.289
12	0.00253965	0.00358636	392.62
13	0.00358636	0.0050572	504.148
14	0.0050572	0.007124	639.498
15	0.007124	0.0100283	731.036
16	0.0100283	0.0141093	793.749
17	0.0141093	0.019844	844.58
18	0.019844	0.0279023	88631.9
19	0.0279023	inf	88631.9
