left_time_boundary	im_N1	im_N2	m	M
0.0	16224714.960324135	15196441.80565072	0.002107203385040155	0.954123758043888
731.2554455445545	16601583.731671935	15549425.77893832	0.002107203385040155	0.9995142762475333
1810.4257425742574	2.0009988780626164	2.0009975071562227	8.100471385440177e-08	0.9995144015562822
3403.029702970297	2.0998494204597757	2.099850274408779	6.773888246811773e-08	0.9995145561538222
5753.346534653466	2.0987315729678806	2.098731661887059	7.097730887541416e-07	0.999516940494438
9221.90099009901	2.0718096625974436	2.0819148891405557	0.001025931486303012	0.9999999867388966
14340.69306930693	2.1004164096999265	2.1003546842404726	6.40325958104115e-05	0.999999994959978
21894.851485148516	2.0307682653746437	2.0307553047296505	4.269093185913298e-05	0.9999999980544303
33043.069306930694	2.2211062292393375	2.2211027767410974	2.9168851707738054e-05	0.9999999992548974
49495.346534653465	2.10009660106157	2.1000971237824007	1.394638248091612e-05	0.9999999996214716
73775.14851485149	2.100331600948155	2.1003315958319417	2.313892583742126e-27	0.9999999996214716
109606.93069306931	2.1037260716364488	2.103725850425904	1.3450867690619815e-22	0.9999999996214716
162486.1386138614	2.0430530993480596	2.0430530944323886	2.6623511303591797e-30	0.9999999996214716
240523.76237623766	2.100554551414656	2.1005545463237585	1.4655417589614197e-19	0.9999999996214716
355689.1089108911	2.100331600816762	2.100331595693103	2.6623511303591797e-30	0.9999999996214716
525648.5148514851	2.100331600816762	2.100331595693103	2.6623511303591797e-30	0.9999999996214716
776468.3168316832	2.1003315916732084	2.1003315942624186	1.90746417973853e-05	0.9999999999999997
1146623.7623762377	2.100312799456018	2.100312726662991	9.99932621354237e-05	1.0
1692891.089108911	2.0914756221334816	2.0914753675994726	9.997166684327883e-05	1.0
2499049.504950495	2.0914756221334816	2.0914753675994726	9.997166684327883e-05	1.0
