time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.05454e-06	0.421636
1	7.05454e-06	1.74654e-05	0.421636
2	1.74654e-05	3.28296e-05	0.421558
3	3.28296e-05	5.55035e-05	13.168
4	5.55035e-05	8.89651e-05	23.5562
5	8.89651e-05	0.000138347	79.4081
6	0.000138347	0.000211223	192.934
7	0.000211223	0.000318772	285.709
8	0.000318772	0.00047749	322.958
9	0.00047749	0.000711721	337.026
10	0.000711721	0.00105739	352.846
11	0.00105739	0.00156753	376.26
12	0.00156753	0.00232037	409.08
13	0.00232037	0.00343139	456.165
14	0.00343139	0.00507101	536.822
15	0.00507101	0.00749072	594.608
16	0.00749072	0.0110617	645.261
17	0.0110617	0.0163316	753.571
18	0.0163316	0.0241087	92165.6
19	0.0241087	inf	92165.6
