time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.02534e-06	0.370653
1	8.02534e-06	1.98689e-05	0.370653
2	1.98689e-05	3.73474e-05	0.370566
3	3.73474e-05	6.31416e-05	2.31357
4	6.31416e-05	0.000101208	19.7259
5	0.000101208	0.000157385	50.6054
6	0.000157385	0.00024029	121.091
7	0.00024029	0.00036264	191.193
8	0.00036264	0.000543199	243.078
9	0.000543199	0.000809664	264.151
10	0.000809664	0.00120291	288.066
11	0.00120291	0.00178324	318.877
12	0.00178324	0.00263968	362.029
13	0.00263968	0.0039036	439.934
14	0.0039036	0.00576886	554.139
15	0.00576886	0.00852155	620.333
16	0.00852155	0.0125839	677.077
17	0.0125839	0.018579	780.562
18	0.018579	0.0274264	80850
19	0.0274264	inf	80850
