left_time_boundary	im_N1	im_N2	m	M
0.0	18719296.87666465	18719296.876925483	0.0014774766352483278	0.8719296876982197
695.5019801980199	19938304.967613608	19938304.967891425	0.0014774766352483278	0.9938304967951834
1721.90099009901	19938304.967730347	19938304.967926137	9.558338971149988e-24	0.9938304967951834
3236.643564356436	1659913.3129114145	1673829.0066193806	0.0007402765457715755	0.9997746315948096
5472.049504950495	787279.1324168625	790825.90135027	0.0001330028655336491	0.9999062910176333
8771.009900990099	345385.7352431349	338804.0185389097	0.00021050849303816638	0.9999879329941942
13639.50495049505	191717.52009511742	157297.840246349	3.280060327583019e-36	0.9999879329941942
20824.356435643564	150504.13120496797	105207.67078056825	8.345309228473413e-32	0.9999879329941942
31427.52475247525	155800.3429996757	105442.47264320306	5.3772809724998646e-05	0.9999977574351153
47075.346534653465	155060.82408703666	121116.52411677499	3.120923520466293e-05	0.9999994694224211
70168.0198019802	148973.27930384496	134118.42880140743	2.0781975442692595e-05	0.9999998712995881
104247.52475247526	140363.5338038462	141846.7835206857	1.208606655774695e-05	0.9999999618405812
154541.58415841585	128585.32451036552	135763.1251075569	6.346133572125742e-06	0.9999999851242863
228763.36633663368	110785.79228295217	111651.01201378943	4.829151834774857e-06	0.9999999948355355
338299.0099009901	93358.4665256728	93450.32588427137	6.758866849089623e-06	0.9999999994191834
499947.5247524753	81691.7370080158	80503.41949754284	7.819023713835628e-06	0.9999999999860726
738504.9504950496	51540.875966622894	52258.89319958423	3.7512688563369024e-06	0.9999999999990075
1090564.3564356437	25627.071763986958	25282.73330383417	4.491677865846849e-06	0.9999999999999907
1610118.8118811883	23629.708448616668	23629.708448744314	4.048397096143998e-38	0.9999999999999907
2376861.3861386143	23629.708448616668	23629.708448744314	4.048397096143998e-38	0.9999999999999907
