left_time_boundary	im_N1	im_N2	m	M
0.0	18267801.04906391	19296270.05808683	0.003919258950462848	0.9957367657244525
696.270297029703	18306811.791593328	19337477.087930895	0.003919258950462848	0.9999986455705854
1723.8118811881188	2.0828946368571843	2.0828913523415484	1.8879725623493216e-08	0.9999986456481359
3240.2178217821784	2.07815338472325	2.0781580734802514	2.2758858398995463e-07	0.9999986470270202
5478.0990099009905	2.0792985806906255	2.0792985887496216	1.5998061907320166e-71	0.9999986470270202
8780.70297029703	2.100409682063863	2.0901299006829155	0.0010519243561553763	0.9999999999523459
13654.554455445545	2.0794447095692976	2.079335076694032	6.84037637348506e-05	0.9999999999821867
20847.32673267327	2.0080627471312202	2.0080682303632256	4.8868648528642464e-05	0.9999999999936879
31462.277227722778	2.0061652578281186	2.0061589548758807	3.330937883964882e-05	0.999999999997777
47127.42574257426	2.0725909712255097	2.0725904365031154	1.5457132827663735e-05	0.9999999999989122
70245.64356435643	2.079300612437328	2.0793006431004613	3.0768329165343587e-06	0.9999999999991181
104363.36633663367	2.100356755534846	2.100356507408677	2.313892583742126e-27	0.9999999999991181
154711.88118811883	2.0230496874163193	2.0230496830886864	2.6623511303591797e-30	0.9999999999991181
229016.83168316833	2.032807389961553	2.0328073849235366	2.6623511303591797e-30	0.9999999999991181
338672.27722772275	2.0793002878587004	2.0793002827284535	1.3450867690619815e-22	0.9999999999991181
500500.00000000006	2.079299987308875	2.0792999947728106	2.6623511303591797e-30	0.9999999999991181
739320.792079208	2.0793002890814365	2.079300289264683	5.4300368273765885e-05	1.0
1091762.3762376239	2.079300595052024	2.079300156202199	9.999449350070403e-05	1.0
1611891.0891089109	2.084591601117554	2.0845913783374153	9.996582203126403e-05	1.0
2379485.1485148515	2.084591601117554	2.0845913783374153	9.996582203126403e-05	1.0
