time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62073e-05	27.0136
1	1.62073e-05	3.89818e-05	27.0136
2	3.89818e-05	7.09843e-05	95.5236
3	7.09843e-05	0.000115954	114.702
4	0.000115954	0.000179145	219.276
5	0.000179145	0.000267941	398.343
6	0.000267941	0.000392717	463.694
7	0.000392717	0.00056805	427.483
8	0.00056805	0.000814428	381.641
9	0.000814428	0.00116064	348.992
10	0.00116064	0.00164713	331.027
11	0.00164713	0.00233074	332.63
12	0.00233074	0.00329135	365.388
13	0.00329135	0.00464119	458.376
14	0.00464119	0.00653798	607.479
15	0.00653798	0.00920334	709.384
16	0.00920334	0.0129487	810.72
17	0.0129487	0.0182116	920.297
18	0.0182116	0.0256071	96657.9
19	0.0256071	inf	96657.9
