time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.32783e-06	19.4123	0.405796	7.122929999999999
1	7.32783e-06	1.81421e-05	19.4123	0.405796	7.122929999999999
2	1.81421e-05	3.41014e-05	19.4123	5.03013	7.122929999999999
3	3.41014e-05	5.76537e-05	54.667100000000005	6.31487	63.772572000000004
4	5.76537e-05	9.24117e-05	104.08018	33.0346	115.88140000000003
5	9.24117e-05	0.000143707	166.3186	93.2595	156.46420000000003
6	0.000143707	0.000219406	242.08709999999996	161.144	225.4519
7	0.000219406	0.000331121	299.1948	244.0	292.31269999999995
8	0.000331121	0.000495988	315.2008	278.355	312.57419999999996
9	0.000495988	0.000739293	308.785	298.532	308.0075
10	0.000739293	0.00109836	305.4982	320.037	307.36300000000006
11	0.00109836	0.00162825	311.93589999999995	347.754	312.5846
12	0.00162825	0.00241026	332.03200000000004	387.181	334.5362
13	0.00241026	0.00356433	384.85900000000004	463.806	393.2369000000001
14	0.00356433	0.00526747	515.3114999999999	591.481	532.6406
15	0.00526747	0.00778091	651.7549999999999	672.087	675.0432000000002
16	0.00778091	0.0114902	717.7545999999999	706.275	757.7743999999999
17	0.0114902	0.0169642	753.4220000000001	745.058	761.4005
18	0.0169642	0.0250427	53952.51359999999	88642.9	629.9582000000001
19	0.0250427	inf	89402.3	88642.9	552.267
