time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.36262e-05	43.5416
1	1.36262e-05	3.27737e-05	43.5416
2	3.27737e-05	5.96796e-05	164.637
3	5.96796e-05	9.74877e-05	255.927
4	9.74877e-05	0.000150615	391.292
5	0.000150615	0.00022527	720.322
6	0.00022527	0.000330174	866.191
7	0.000330174	0.000477585	714.43
8	0.000477585	0.000684725	549.654
9	0.000684725	0.000975798	451.984
10	0.000975798	0.00138481	396.871
11	0.00138481	0.00195956	360.802
12	0.00195956	0.00276718	346.052
13	0.00276718	0.00390205	375.85
14	0.00390205	0.00549677	480.23
15	0.00549677	0.00773765	633.616
16	0.00773765	0.0108865	747.107
17	0.0108865	0.0153113	799.957
18	0.0153113	0.021529	1034.18
19	0.021529	inf	1034.18
