time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.32901e-05	28.6056
1	1.32901e-05	3.19652e-05	28.6056
2	3.19652e-05	5.82074e-05	132.995
3	5.82074e-05	9.50827e-05	255.238
4	9.50827e-05	0.0001469	438.523
5	0.0001469	0.000219713	798.228
6	0.000219713	0.000322029	928.294
7	0.000322029	0.000465803	741.637
8	0.000465803	0.000667834	557.424
9	0.000667834	0.000951726	457.125
10	0.000951726	0.00135065	402.185
11	0.00135065	0.00191121	365.089
12	0.00191121	0.00269892	348.822
13	0.00269892	0.00380579	379.855
14	0.00380579	0.00536116	496.053
15	0.00536116	0.00754676	648.665
16	0.00754676	0.010618	761.109
17	0.010618	0.0149336	825.065
18	0.0149336	0.0209979	118369
19	0.0209979	inf	118369
