time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.15e-06	0.415911
1	7.15e-06	1.77018e-05	0.415911
2	1.77018e-05	3.32738e-05	0.415911
3	3.32738e-05	5.62546e-05	12.9095
4	5.62546e-05	9.0169e-05	27.7505
5	9.0169e-05	0.000140219	80.0976
6	0.000140219	0.000214081	194.313
7	0.000214081	0.000323085	291.098
8	0.000323085	0.000483951	314.366
9	0.000483951	0.000721352	325.617
10	0.000721352	0.0010717	344.633
11	0.0010717	0.00158874	372.208
12	0.00158874	0.00235177	409.807
13	0.00235177	0.00347783	457.405
14	0.00347783	0.00513963	531.129
15	0.00513963	0.00759208	598.537
16	0.00759208	0.0112113	653.343
17	0.0112113	0.0165525	723.267
18	0.0165525	0.0244349	90940
19	0.0244349	inf	90940
