time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.91585e-06	39.4168	0.430056	9.368610000000002
1	6.91585e-06	1.71221e-05	39.4168	0.430056	9.368610000000002
2	1.71221e-05	3.21841e-05	39.4168	1.31835	9.368610000000002
3	3.21841e-05	5.44123e-05	198.13600000000005	20.5642	29.144305
4	5.44123e-05	8.72161e-05	301.94289999999995	23.5069	71.7095
5	8.72161e-05	0.000135627	527.5529999999999	103.102	145.1912
6	0.000135627	0.000207071	808.0591999999999	238.414	240.90040000000005
7	0.000207071	0.000312505	917.0024000000003	318.288	302.26180000000005
8	0.000312505	0.000468102	761.8360999999999	343.421	314.5628
9	0.000468102	0.000697729	558.5845	345.257	308.02689999999996
10	0.000697729	0.00103661	453.3522	357.569	307.19579999999996
11	0.00103661	0.00153671	387.78700000000003	383.724	315.61400000000003
12	0.00153671	0.00227475	358.3855	420.225	339.1084
13	0.00227475	0.00336393	367.5772	465.727	391.9814999999999
14	0.00336393	0.00497132	447.2363999999999	531.398	491.0917999999999
15	0.00497132	0.00734345	596.136	603.111	614.7668
16	0.00734345	0.0108442	748.2269999999999	640.56	694.4188
17	0.0108442	0.0160105	24715.532	691.27	699.2667999999999
18	0.0160105	0.0236347	120085.0	94077.8	713.2094999999999
19	0.0236347	inf	120085.0	94077.8	742.817
