time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76093e-05	10.657
1	1.76093e-05	4.23537e-05	10.657
2	4.23537e-05	7.71244e-05	79.5327
3	7.71244e-05	0.000125984	144.685
4	0.000125984	0.000194641	223.254
5	0.000194641	0.000291118	285.767
6	0.000291118	0.000426686	316.964
7	0.000426686	0.000617186	313.68
8	0.000617186	0.000884875	303.623
9	0.000884875	0.00126103	302.372
10	0.00126103	0.0017896	313.576
11	0.0017896	0.00253235	341.229
12	0.00253235	0.00357605	397.483
13	0.00357605	0.00504265	496.636
14	0.00504265	0.00710351	605.207
15	0.00710351	0.00999942	675.7
16	0.00999942	0.0140687	708.475
17	0.0140687	0.0197869	694.145
18	0.0197869	0.027822	534.066
19	0.027822	inf	534.066
