time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62335e-05	8.86559
1	1.62335e-05	3.90447e-05	8.86559
2	3.90447e-05	7.10988e-05	93.5193
3	7.10988e-05	0.000116141	116.712
4	0.000116141	0.000179434	202.123
5	0.000179434	0.000268373	382.515
6	0.000268373	0.00039335	467.63
7	0.00039335	0.000568966	430.199
8	0.000568966	0.000815742	379.533
9	0.000815742	0.00116251	346.233
10	0.00116251	0.00164978	327.408
11	0.00164978	0.0023345	330.796
12	0.0023345	0.00329666	367.627
13	0.00329666	0.00464868	466.153
14	0.00464868	0.00654852	596.716
15	0.00654852	0.00921818	683.048
16	0.00921818	0.0129696	731.008
17	0.0129696	0.018241	766.313
18	0.018241	0.0256483	96660.6
19	0.0256483	inf	96660.6
