time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.6288e-05	12.6563
1	1.6288e-05	3.91758e-05	12.6563
2	3.91758e-05	7.13375e-05	96.9825
3	7.13375e-05	0.000116531	124.113
4	0.000116531	0.000180037	218.548
5	0.000180037	0.000269275	394.889
6	0.000269275	0.000394671	477.42
7	0.000394671	0.000570877	432.93
8	0.000570877	0.000818481	381.03
9	0.000818481	0.00116641	346.843
10	0.00116641	0.00165532	327.81
11	0.00165532	0.00234234	329.862
12	0.00234234	0.00330773	367.82
13	0.00330773	0.00466429	465.086
14	0.00466429	0.00657051	614.64
15	0.00657051	0.00924913	732.043
16	0.00924913	0.0130131	780.238
17	0.0130131	0.0183022	785.19
18	0.0183022	0.0257345	96282.4
19	0.0257345	inf	96282.4
