time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.35097e-05	68.9627
1	1.35097e-05	3.24934e-05	68.9627
2	3.24934e-05	5.91692e-05	191.804
3	5.91692e-05	9.66539e-05	242.864
4	9.66539e-05	0.000149327	414.111
5	0.000149327	0.000223343	743.806
6	0.000223343	0.00032735	879.539
7	0.00032735	0.0004735	710.649
8	0.0004735	0.000678869	535.56
9	0.000678869	0.000967452	442.113
10	0.000967452	0.00137297	388.806
11	0.00137297	0.0019428	358.861
12	0.0019428	0.00274351	348.013
13	0.00274351	0.00386868	374.514
14	0.00386868	0.00544975	486.241
15	0.00544975	0.00767147	657.581
16	0.00767147	0.0107934	772.212
17	0.0107934	0.0151803	900.759
18	0.0151803	0.0213448	116359
19	0.0213448	inf	116359
