time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.32826e-05	44.2974
1	1.32826e-05	3.19473e-05	44.2974
2	3.19473e-05	5.81749e-05	195.814
3	5.81749e-05	9.50296e-05	272.184
4	9.50296e-05	0.000146818	473.733
5	0.000146818	0.00021959	804.11
6	0.00021959	0.000321849	888.902
7	0.000321849	0.000465543	727.548
8	0.000465543	0.000667461	557.347
9	0.000667461	0.000951194	456.91
10	0.000951194	0.0013499	396.507
11	0.0013499	0.00191015	360.417
12	0.00191015	0.00269741	346.128
13	0.00269741	0.00380367	374.332
14	0.00380367	0.00535817	478.106
15	0.00535817	0.00754255	633.637
16	0.00754255	0.010612	732.234
17	0.010612	0.0149252	848.561
18	0.0149252	0.0209861	118433
19	0.0209861	inf	118433
