time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.10765e-06	2.34303
1	7.10765e-06	1.75969e-05	2.34303
2	1.75969e-05	3.30767e-05	1.43478
3	3.30767e-05	5.59214e-05	15.9721
4	5.59214e-05	8.9635e-05	26.2051
5	8.9635e-05	0.000139389	79.2473
6	0.000139389	0.000212814	185.837
7	0.000212814	0.000321172	287.422
8	0.000321172	0.000481085	324.226
9	0.000481085	0.00071708	336.346
10	0.00071708	0.00106535	348.717
11	0.00106535	0.00157933	371.514
12	0.00157933	0.00233784	404.665
13	0.00233784	0.00345723	449.077
14	0.00345723	0.00510919	531.562
15	0.00510919	0.00754712	621.004
16	0.00754712	0.0111449	699.846
17	0.0111449	0.0164545	813.403
18	0.0164545	0.0242902	91401
19	0.0242902	inf	91401
