time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.75152e-05	20.4184
1	1.75152e-05	4.21274e-05	20.4184
2	4.21274e-05	7.67124e-05	80.463
3	7.67124e-05	0.000125311	152.082
4	0.000125311	0.000193601	225.023
5	0.000193601	0.000289563	289.451
6	0.000289563	0.000424407	321.63
7	0.000424407	0.000613889	318.07
8	0.000613889	0.000880148	309.425
9	0.000880148	0.00125429	308.809
10	0.00125429	0.00178004	315.884
11	0.00178004	0.00251882	335.998
12	0.00251882	0.00355694	387.679
13	0.00355694	0.00501571	499.25
14	0.00501571	0.00706556	650.675
15	0.00706556	0.009946	768.282
16	0.009946	0.0139936	824.395
17	0.0139936	0.0196812	813.139
18	0.0196812	0.0276734	715.299
19	0.0276734	inf	715.299
