left_time_boundary	im_N1	im_N2	m	M
0.0	17527899.73672482	15025261.151705567	0.004975466040213697	0.9986859497330056
666.7356435643565	17539422.934176315	15035139.06369799	0.004975466040213697	0.9999999264893905
1650.6831683168316	2.16309399694397	2.1630931957688224	1.3128516603354349e-08	0.9999999264921933
3102.7722772277225	2.098404484439935	2.098395368421622	5.32591317750512e-08	0.9999999265089704
5245.722772277229	2.098337739284862	2.098337033863781	4.518013614441548e-07	0.9999999267186829
8408.237623762378	2.0908776641129845	2.0976414699828396	0.0010932204398625856	0.999999999997288
13075.346534653465	2.0984642458270515	2.098432363139799	7.281455207974977e-05	0.9999999999990054
19963.069306930694	2.302216675394053	2.302262581335515	5.306771291451003e-05	0.9999999999996618
30127.62376237624	2.2746884286432216	2.2746963012050436	3.490742250249728e-05	0.9999999999998813
45128.31683168317	2.095415357673247	2.095416427224244	1.6077131404434916e-05	0.9999999999999417
67265.84158415842	2.100331996392003	2.100331949807002	3.579401361883343e-06	0.9999999999999539
99935.64356435645	2.356672598191335	2.3566725923779948	8.793894922092395e-26	0.9999999999999539
148149.50495049506	2.0222299600770643	2.0222299473097394	1.3450867690619815e-22	0.9999999999999539
219301.9801980198	2.0917707549241378	2.09177060013757	1.3450867690619815e-22	0.9999999999999539
324305.9405940594	2.098390285603873	2.098390281326191	2.6623511303591797e-30	0.9999999999999539
479269.30693069316	2.098390284995739	2.098390280722785	2.6623511303591797e-30	0.9999999999999539
707959.4059405942	2.100331606431999	2.1003316065529165	8.697455627262315e-05	1.0
1045455.4455445545	2.100331606968135	2.100331605279194	9.998432540614643e-05	1.0
1543524.7524752477	2.0944207259142273	2.0944206243211614	9.998688962023637e-05	1.0
2278554.455445545	2.0944207259142273	2.0944206243211614	9.998688962023637e-05	1.0
