time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.36608e-06	1.9923200000000005	0.404046	5.90287
1	7.36608e-06	1.82367e-05	1.9923200000000005	0.404046	5.90287
2	1.82367e-05	3.42794e-05	1.9923200000000005	0.403686	5.90287
3	3.42794e-05	5.79547e-05	42.428108	7.91196	26.735788000000007
4	5.79547e-05	9.2894e-05	104.83678	42.1585	71.04824
5	9.2894e-05	0.000144457	174.89740000000003	99.9866	148.61270000000002
6	0.000144457	0.000220551	237.57410000000002	173.019	240.27119999999996
7	0.000220551	0.00033285	301.3409	243.639	288.0254
8	0.00033285	0.000498577	317.41360000000003	277.082	304.5402
9	0.000498577	0.000743152	302.27500000000003	289.792	298.71999999999997
10	0.000743152	0.00110409	296.5075	312.917	298.1144
11	0.00110409	0.00163675	305.5618	346.416	311.87699999999995
12	0.00163675	0.00242284	333.3989	393.528	341.98440000000005
13	0.00242284	0.00358293	392.81239999999997	476.001	403.8654
14	0.00358293	0.00529496	511.5683	584.765	531.9757000000001
15	0.00529496	0.00782152	633.7086	651.509	631.0866000000001
16	0.00782152	0.0115502	682.1686000000001	677.39	663.5502
17	0.0115502	0.0170528	620.7739999999999	714.007	683.2060000000001
18	0.0170528	0.0251734	488.23559999999986	88216.7	54005.052800000005
19	0.0251734	inf	434.752	88216.7	89540.5
