time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76661e-05	4.80254
1	1.76661e-05	4.24904e-05	4.80254
2	4.24904e-05	7.73733e-05	69.2879
3	7.73733e-05	0.000126391	146.848
4	0.000126391	0.000195269	233.189
5	0.000195269	0.000292057	294.946
6	0.000292057	0.000428063	317.537
7	0.000428063	0.000619178	311.272
8	0.000619178	0.000887731	303.474
9	0.000887731	0.0012651	306.684
10	0.0012651	0.00179538	315.916
11	0.00179538	0.00254052	337.451
12	0.00254052	0.00358759	393.053
13	0.00358759	0.00505892	504.473
14	0.00505892	0.00712643	642.059
15	0.00712643	0.0100317	759.57
16	0.0100317	0.0141141	812.071
17	0.0141141	0.0198508	757.137
18	0.0198508	0.0279118	658.965
19	0.0279118	inf	658.965
