time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.06952e-06	87.32200000000002	0.420623	6.4196
1	7.06952e-06	1.75025e-05	87.32200000000002	0.420623	6.4196
2	1.75025e-05	3.28993e-05	87.32200000000002	8.76793	6.4196
3	3.28993e-05	5.56214e-05	230.318	28.0211	42.402950000000004
4	5.56214e-05	8.91541e-05	258.8796	39.3357	105.92081000000002
5	8.91541e-05	0.000138641	432.8536000000001	101.641	182.79119999999998
6	0.000138641	0.000211672	756.6555999999999	220.459	246.18479999999994
7	0.000211672	0.000319449	891.2278000000002	318.07	302.13539999999995
8	0.000319449	0.000478504	733.4553999999998	338.313	317.70309999999995
9	0.000478504	0.000713233	536.5704999999999	336.877	310.5084
10	0.000713233	0.00105964	440.02219999999994	351.743	303.9468
11	0.00105964	0.00157086	386.37359999999995	376.961	308.956
12	0.00157086	0.0023253	356.2484999999999	410.284	327.60800000000006
13	0.0023253	0.00343868	367.79159999999996	450.29	376.8148000000001
14	0.00343868	0.00508178	454.23600000000005	522.529	492.0955000000001
15	0.00508178	0.00750663	609.5076	621.155	634.2201
16	0.00750663	0.0110852	754.8683999999998	690.009	710.2782
17	0.0110852	0.0163662	848.3496000000001	747.99	749.1682
18	0.0163662	0.0241599	716.572	91953.2	696.8915
19	0.0241599	inf	716.572	91953.2	629.253
