time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.61246e-06	14.740299999999998	0.390906	1.61983
1	7.61246e-06	1.88467e-05	14.740299999999998	0.390906	1.61983
2	1.88467e-05	3.54259e-05	14.740299999999998	0.623463	1.61983
3	3.54259e-05	5.98931e-05	69.62917999999998	6.78639	51.726579
4	5.98931e-05	9.60011e-05	105.68615999999997	33.6008	107.99345
5	9.60011e-05	0.000149288	179.16479999999996	75.1517	171.10839999999996
6	0.000149288	0.000227928	326.74	154.113	242.45919999999998
7	0.000227928	0.000343983	441.0023999999999	238.301	296.066
8	0.000343983	0.000515253	446.1944999999999	276.042	306.5755
9	0.000515253	0.000768009	397.3284000000001	290.035	299.84250000000003
10	0.000768009	0.00114102	351.825	309.856	300.71520000000004
11	0.00114102	0.0016915	329.86740000000003	338.01	309.85839999999996
12	0.0016915	0.00250388	334.59209999999996	378.539	332.04599999999994
13	0.00250388	0.00370277	390.65939999999995	447.263	389.4935000000001
14	0.00370277	0.00547206	516.2978	557.193	531.6026
15	0.00547206	0.00808314	662.3159999999999	643.688	636.6717
16	0.00808314	0.0119365	750.0154000000001	692.283	693.4448
17	0.0119365	0.0176232	803.3914000000001	714.65	757.5470000000001
18	0.0176232	0.0260154	86691.21389999999	85326.9	62218.05050000001
19	0.0260154	inf	96233.4	85326.9	88547.6
