time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.61517e-06	11.1637	0.390514	0.6281729999999998
1	7.61517e-06	1.88534e-05	11.1637	0.390514	0.6281729999999998
2	1.88534e-05	3.54385e-05	11.1637	3.11511	0.6281729999999998
3	3.54385e-05	5.99144e-05	59.02538	2.03843	42.07183189999999
4	5.99144e-05	9.60353e-05	98.19191999999998	19.2096	78.7288
5	9.60353e-05	0.000149341	174.04240000000004	49.8293	137.40652
6	0.000149341	0.000228009	319.38779999999997	160.308	230.04680000000002
7	0.000228009	0.000344105	433.3428	234.477	286.7998
8	0.000344105	0.000515436	437.2228999999999	260.245	300.832
9	0.000515436	0.000768282	393.25940000000014	280.591	301.995
10	0.000768282	0.00114143	351.6238	306.896	300.66439999999994
11	0.00114143	0.0016921	331.2024	340.913	309.4687
12	0.0016921	0.00250477	337.5849	384.856	337.52859999999987
13	0.00250477	0.00370409	396.9117000000001	455.843	400.81000000000006
14	0.00370409	0.00547401	519.9074	563.888	536.5891999999999
15	0.00547401	0.00808601	638.105	614.991	651.2202000000001
16	0.00808601	0.0119407	702.6745999999998	651.846	704.3432000000001
17	0.0119407	0.0176294	799.9717999999999	702.859	731.1901999999999
18	0.0176294	0.0260247	86651.6916	85325.2	62318.7383
19	0.0260247	inf	96188.6	85325.2	88708.1
