time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.11214e-06	0.418334
1	7.11214e-06	1.7608e-05	0.418334
2	1.7608e-05	3.30976e-05	0.612128
3	3.30976e-05	5.59567e-05	27.8679
4	5.59567e-05	8.96916e-05	33.5825
5	8.96916e-05	0.000139477	75.316
6	0.000139477	0.000212948	197.706
7	0.000212948	0.000321375	296.512
8	0.000321375	0.000481389	331.518
9	0.000481389	0.000717533	336.181
10	0.000717533	0.00106603	349.064
11	0.00106603	0.00158033	372.31
12	0.00158033	0.00233932	405.121
13	0.00233932	0.00345941	449.536
14	0.00345941	0.00511242	533.893
15	0.00511242	0.00755189	633.618
16	0.00755189	0.011152	699.304
17	0.011152	0.0164649	819.017
18	0.0164649	0.0243056	91336.2
19	0.0243056	inf	91336.2
