time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62226e-05	10.8109
1	1.62226e-05	3.90186e-05	10.8109
2	3.90186e-05	7.10513e-05	63.7349
3	7.10513e-05	0.000116063	141.702
4	0.000116063	0.000179314	243.466
5	0.000179314	0.000268194	401.136
6	0.000268194	0.000393087	464.617
7	0.000393087	0.000568586	427.027
8	0.000568586	0.000815196	378.786
9	0.000815196	0.00116173	345.119
10	0.00116173	0.00164868	329.786
11	0.00164868	0.00233294	333.238
12	0.00233294	0.00329445	365.181
13	0.00329445	0.00464557	451.684
14	0.00464557	0.00654415	580.292
15	0.00654415	0.00921202	667.684
16	0.00921202	0.0129609	709.636
17	0.0129609	0.0182288	781.134
18	0.0182288	0.0256312	96743
19	0.0256312	inf	96743
