time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.77051e-05	0.381441
1	1.77051e-05	4.25841e-05	0.381441
2	4.25841e-05	7.7544e-05	60.9261
3	7.7544e-05	0.000126669	154.429
4	0.000126669	0.0001957	212.893
5	0.0001957	0.000292702	284.218
6	0.000292702	0.000429008	313.015
7	0.000429008	0.000620544	304.867
8	0.000620544	0.00088969	298.266
9	0.00088969	0.00126789	300.364
10	0.00126789	0.00179934	311.474
11	0.00179934	0.00254613	341.858
12	0.00254613	0.0035955	406.299
13	0.0035955	0.00507009	513.413
14	0.00507009	0.00714216	610.775
15	0.00714216	0.0100538	649.366
16	0.0100538	0.0141453	610.465
17	0.0141453	0.0198946	509.206
18	0.0198946	0.0279734	408.481
19	0.0279734	inf	408.481
