left_time_boundary	im_N1	im_N2	m	M
0.0	14262562.577637142	16540016.215085197	0.004240442678187662	0.9981409595575896
741.3960396039605	14275831.01369771	16555403.362128092	0.004240442678187662	0.9999998264629983
1835.5247524752476	2.224057924568184	2.2240509510332007	4.755575881752046e-08	0.9999998264896475
3450.2178217821784	2.0827719135800384	2.082772235501107	1.593246077531219e-07	0.9999998266213466
5833.138613861386	2.0827623625315184	2.0827681557759306	5.687051435621122e-07	0.9999998273134529
9349.782178217822	2.0833689316852686	2.071634816542997	0.0009880937294578177	0.9999999999939311
14539.60396039604	2.083062950963868	2.0831755088335804	6.540261406413115e-05	0.9999999999977714
22198.51485148515	2.0379481184481607	2.037977230703042	4.819069547123341e-05	0.9999999999992503
33501.28712871287	2.1709353102396345	2.17094121095235	3.2957942421121274e-05	0.9999999999997503
50181.78217821782	2.0892991471037092	2.0892991170416484	1.2970263730870426e-05	0.9999999999998681
74798.31683168317	2.083040713140242	2.0830404532603235	1.8683936403242692e-06	0.9999999999998849
111126.73267326734	2.003042328092961	2.003042408342697	2.313892583742126e-27	0.9999999999998849
164739.60396039605	2.068422868925016	2.0684228684827213	1.3450867690619815e-22	0.9999999999998849
243859.40594059406	2.101874303135246	2.1018742620428617	2.6623511303591797e-30	0.9999999999998849
360621.78217821784	2.100331601312266	2.1003316064718116	2.6623511303591797e-30	0.9999999999998849
532937.6237623763	2.100331601312266	2.1003316064718116	2.6623511303591797e-30	0.9999999999998849
787236.6336633663	2.1003316027506473	2.100331606552863	9.080933354054283e-06	0.9999999999999999
1162524.7524752477	2.1003316065517073	2.1003316064459967	9.997166827885648e-05	1.0
1716366.3366336636	2.0649751396655738	2.064974854617094	9.999999955498718e-05	1.0
2533702.9702970297	2.0649751396655738	2.064974854617094	9.999999955498718e-05	1.0
